Age,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI,Calories_Burned (kcal),Gender_Male,Workout_Type_HIIT,Workout_Type_Mixed,Workout_Type_Strength,Workout_Type_Yoga,Cluster
56,53.8,1.62,163.0,149.0,71.0,1.01,22.1,3.5,3,1,20.4,437.7,False,True,False,False,False,2
46,54.9,1.75,170.0,126.0,73.0,0.25,19.9,3.4,3,0,18.0,22.5,True,False,False,False,True,2
32,68.5,1.61,190.0,171.0,60.0,0.33,20.4,2.7,3,1,26.5,183.4,False,True,False,False,False,0
25,98.8,1.86,189.0,135.0,69.0,0.78,30.3,4.4,3,0,28.5,127.2,True,False,False,False,True,0
38,95.5,1.71,176.0,138.0,66.0,0.55,23.7,2.2,2,0,32.5,240.7,True,False,False,False,False,2
56,47.4,1.62,163.0,124.0,77.0,0.75,28.7,3.7,5,1,18.1,58.3,False,False,False,False,True,2
36,71.1,1.62,183.0,136.0,78.0,0.41,25.5,3.3,2,0,27.1,48.3,False,False,False,False,True,2
40,72.5,1.63,176.0,137.0,63.0,0.52,18.3,2.7,3,1,27.3,172.8,False,False,False,False,False,2
28,71.6,1.82,191.0,164.0,83.0,0.78,26.5,4.2,2,0,21.7,335.1,True,False,True,False,False,0
28,49.0,1.55,199.0,166.0,66.0,0.67,21.3,3.7,4,1,20.3,197.5,False,False,True,False,False,0
41,51.2,1.61,179.0,126.0,62.0,1.07,14.5,3.8,7,3,19.7,89.9,True,False,False,False,True,1
53,57.7,1.62,161.0,140.0,77.0,0.44,28.7,3.5,3,0,21.9,152.3,True,False,True,False,False,2
57,69.9,1.68,163.0,135.0,70.0,0.43,27.6,2.8,4,1,24.8,126.0,True,False,False,True,False,2
41,80.4,1.65,168.0,142.0,63.0,1.0,20.9,4.6,6,2,29.4,483.9,False,False,True,False,False,1
20,66.6,1.53,205.0,186.0,75.0,0.65,37.7,3.0,3,0,28.4,351.1,False,True,False,False,False,0
39,48.4,1.64,175.0,143.0,69.0,0.97,27.0,3.6,4,1,18.0,196.7,False,False,False,True,False,2
19,58.1,1.67,202.0,171.0,76.0,0.48,25.5,4.4,2,0,20.8,168.2,True,False,True,False,False,0
41,76.4,1.62,180.0,149.0,76.0,0.25,28.3,2.8,2,0,29.2,80.4,True,False,False,True,False,2
47,64.4,1.75,169.0,136.0,57.0,1.39,9.0,3.9,7,3,21.1,378.8,False,False,False,True,False,1
55,74.6,1.77,171.0,149.0,81.0,0.56,24.7,4.3,3,0,23.8,252.5,True,False,True,False,False,2
19,50.3,1.67,205.0,184.0,66.0,0.44,16.1,2.5,5,1,18.0,178.5,True,True,False,False,False,0
38,83.0,1.7,178.0,163.0,77.0,0.84,29.1,3.8,3,0,28.6,564.0,True,True,False,False,False,0
50,38.6,1.46,174.0,143.0,73.0,0.25,29.8,2.5,3,0,18.0,40.1,False,False,False,True,False,2
29,48.3,1.64,186.0,157.0,71.0,0.58,21.2,3.9,3,0,18.0,167.6,True,False,True,False,False,0
39,89.4,1.78,188.0,171.0,74.0,0.27,17.1,2.6,3,0,28.2,195.1,True,True,False,False,False,0
42,85.0,1.64,184.0,155.0,67.0,0.8,25.8,3.9,5,1,31.7,409.2,False,False,True,False,False,0
44,58.9,1.61,181.0,153.0,68.0,0.87,14.4,4.4,4,2,22.8,308.4,False,False,True,False,False,1
59,86.0,1.9,153.0,115.0,70.0,0.69,24.2,4.0,5,1,23.8,96.5,False,False,False,False,True,2
45,95.8,1.86,172.0,129.0,77.0,0.6,31.4,3.5,5,1,27.6,94.4,False,False,False,False,True,2
33,75.0,1.73,184.0,129.0,60.0,1.0,22.6,4.4,7,2,25.2,125.2,False,False,False,False,True,1
32,72.4,1.79,185.0,153.0,55.0,1.645,11.1,5.0,6,3,22.5,719.45,False,False,True,False,False,1
20,46.9,1.46,205.0,158.0,72.0,0.89,20.6,3.5,3,1,22.1,188.9,True,False,False,False,False,0
54,46.2,1.6,157.0,135.0,69.0,1.25,14.7,4.3,7,3,18.0,346.5,True,False,True,False,False,1
24,66.5,1.63,198.0,179.0,72.0,0.87,20.9,2.9,5,1,24.9,466.7,True,True,False,False,False,0
38,64.8,1.66,186.0,167.0,60.0,1.22,18.7,3.8,6,2,23.6,637.8,True,True,False,False,False,1
26,59.2,1.63,190.0,172.0,65.0,0.91,24.6,3.3,3,1,22.2,438.1,False,True,False,False,False,0
56,42.0,1.45,167.0,133.0,70.0,1.29,12.6,3.2,7,3,20.0,246.3,True,False,False,False,False,1
35,60.2,1.72,187.0,151.0,68.0,0.37,18.6,2.7,4,1,20.4,93.2,False,False,False,True,False,0
21,79.6,1.73,198.0,163.0,60.0,1.01,19.7,4.2,5,2,26.5,480.0,False,False,True,False,False,1
42,93.2,1.84,183.0,135.0,76.0,0.63,22.1,3.6,5,1,27.5,97.1,True,False,False,False,True,2
31,58.2,1.6,186.0,167.0,59.0,1.35,9.0,3.8,5,3,22.7,634.7,True,True,False,False,False,1
26,56.5,1.59,199.0,178.0,55.0,1.16,18.3,3.7,7,3,22.3,531.8,False,True,False,False,False,1
43,43.3,1.45,178.0,150.0,85.0,0.81,26.3,3.3,3,0,20.6,147.1,False,False,False,True,False,2
19,75.6,1.65,199.0,161.0,73.0,0.57,26.6,3.4,5,1,27.7,180.6,False,False,False,True,False,0
37,75.6,1.77,182.0,148.0,67.0,0.83,28.7,3.7,3,0,24.1,265.2,False,False,False,True,False,0
45,66.8,1.62,168.0,147.0,82.0,0.8,20.3,4.2,3,0,25.5,323.1,True,False,True,False,False,2
24,91.3,1.89,194.0,173.0,55.0,1.35,19.2,3.6,7,3,25.4,719.45,False,True,False,False,False,1
25,62.3,1.65,189.0,146.0,64.0,0.87,17.9,3.2,4,1,22.8,248.9,True,False,False,False,False,0
52,55.5,1.69,169.0,133.0,66.0,1.01,24.3,3.1,3,1,19.3,255.2,False,False,False,False,False,2
31,47.7,1.54,194.0,158.0,75.0,1.06,25.0,3.8,7,2,20.0,211.6,False,False,False,True,False,1
34,83.2,1.71,188.0,150.0,80.0,0.95,23.8,3.1,4,1,28.5,358.6,False,False,False,False,False,0
